1,2,3,4,5,6,7,8,9,10
Admiralty,Whampoa,Tsuen Wan,Kennedy Town,Tung Chung,AsiaWorld–Expo,Po Lam,Wu Kai Sha,Disneyland Resort,South Horizons
Exhibition Centre,Ho Man Tin,Tai Wo Hau,HKU,Sunny Bay,Airport,Hang Hau,Ma On Shan,Sunny Bay,Lei Tung
Hung Hom ,Yau Ma Tei,Kwai Hing,Sai Ying Pun,Tsing Yi,Tsing Yi,LOHAS Park,Heng On,,Wong Chuk Hang
Mong Kok East,Mong Kok,Kwai Fong,Sheung Wan,Lai King,Kowloon,Tseung Kwan O,Tai Shui Hang,,Ocean Park
Kowloon Tong,Prince Edward,Lai King,Central,Nam Cheong,Hong Kong,Tiu Keng Leng,Shek Mun,,Admiralty
Tai Wai,Shek Kip Mei,Mei Foo,Admiralty,Olympic,,Yau Tong,City One,,
Sha Tin,Kowloon Tong,Lai Chi Kok,Wan Chai,Kowloon,,Quarry Bay,Sha Tin Wai,,
Fo Tan,Lok Fu,Cheung Sha Wan,Causeway Bay,Hong Kong,,North Point,Che Kung Temple,,
Racecourse,Wong Tai Sin,Sham Shui Po,Tin Hau,,,,Tai Wai,,
University ,Diamond Hill,Prince Edward,Fortress Hill,,,,Hin Keng,,
Tai Po Market,Choi Hung,Mong Kok,North Point,,,,Diamond Hill,,
Tai Wo,Kowloon Bay,Yau Ma Tei,Quarry Bay,,,,Kai Tak,,
Fanling,Ngau Tau Kok,Jordan,Tai Koo,,,,Sung Wong Toi,,
Sheung Shui,Kwun Tong,Tsim Sha Tsui,Sai Wan Ho,,,,To Kwa Wan,,
Lo Wu,Lam Tin,Admiralty,Shau Kei Wan,,,,Ho Man Tin,,
Lok Ma Chau,Yau Tong,Central,Heng Fa Chuen,,,,Hung Hom,,
,Tiu Keng Leng,,Chai Wan,,,,East Tsim Sha Tsui,,
,,,,,,,Austin,,
,,,,,,,Nam Cheong,,
,,,,,,,Mei Foo,,
,,,,,,,Tsuen Wan West,,
,,,,,,,Kam Sheung Road,,
,,,,,,,Yuen Long,,
,,,,,,,Long Ping,,
,,,,,,,Tin Shui Wai,,
,,,,,,,Siu Hong,,
,,,,,,,Tuen Mun,,
